,articleNo,token (raw text),token (lowercase),lemma,POS,entity IOB,entity type
1472,107,",",",",",",",",O,
1473,107,1520,1520,1520,CD,B,DATE
1474,107,-,-,-,SYM,I,DATE
1475,107,1700,1700,1700,CD,I,DATE
1476,108,Book,book,Book,NNP,B,PERSON
1477,108,History,history,History,NNP,I,PERSON
1478,108,",",",",",",",",O,
1479,108,vol,vol,vol,NN,O,
1480,108,19,19,19,CD,B,CARDINAL
1481,109,The,the,the,DT,B,ORG
1482,109,Evolution,evolution,Evolution,NNP,I,ORG
1483,109,of,of,of,IN,I,ORG
1484,109,W.,w.,W.,NNP,I,ORG
1485,109,H.,h.,H.,NNP,I,ORG
1486,109,Smith,smith,Smith,NNP,I,ORG
1487,109,'s,'s,'s,POS,I,ORG
1488,109,Bookselling,bookselling,Bookselling,NNP,B,ORG
1489,109,Strategies,strategies,Strategies,NNPS,I,ORG
1490,109,and,and,and,CC,I,ORG
1491,109,Responsibilities,responsibilities,Responsibilities,NNPS,I,ORG
1492,109,",",",",",",",",O,
1493,109,from,from,from,IN,O,
1494,109,the,the,the,DT,O,
1495,109,Edwardians,edwardians,Edwardians,NNP,B,NORP
1496,109,to,to,to,IN,O,
1497,109,a,a,a,DT,O,
1498,109,More,more,more,RBR,O,
1499,109,Permissive,permissive,permissive,JJ,O,
1500,109,Age,age,age,NN,O,
1501,110,Traces,traces,Traces,NNP,B,ORG
1502,110,-,-,-,HYPH,I,ORG
1503,110,Museum,museum,Museum,NNP,I,ORG
1504,110,Narrative,narrative,Narrative,NNP,I,ORG
1505,110,on,on,on,IN,O,
1506,110,the,the,the,DT,O,
1507,110,Jewish,jewish,jewish,JJ,B,NORP
1508,110,Book,book,Book,NNP,O,
1509,110,History,history,history,NN,O,
1510,110,of,of,of,IN,O,
1511,110,the,the,the,DT,O,
1512,110,Interwar,interwar,Interwar,NNP,O,
1513,110,Period,period,Period,NNP,O,
1514,110,in,in,in,IN,O,
1515,110,Germany,germany,Germany,NNP,B,GPE
1516,111,Interpreting,interpreting,interpret,VBG,O,
1517,111,the,the,the,DT,O,
1518,111,event,event,event,NN,O,
1519,111,:,:,:,:,O,
1520,111,baptism,baptism,baptism,NN,O,
1521,111,",",",",",",",",O,
1522,111,networks,networks,network,NNS,O,
1523,111,and,and,and,CC,O,
1524,111,polemic,polemic,polemic,NN,O,
1525,111,in,in,in,IN,O,
1526,111,Commonwealth,commonwealth,Commonwealth,NNP,B,LOC
1527,111,England,england,England,NNP,I,LOC
1528,112,Media,media,Media,NNP,O,
1529,112,",",",",",",",",O,
1530,112,Materiality,materiality,Materiality,NNP,B,ORG
1531,112,",",",",",",",",O,
1532,112,and,and,and,CC,O,
1533,112,Time,time,Time,NNP,B,ORG
1534,112,in,in,in,IN,O,
1535,112,the,the,the,DT,O,
1536,112,History,history,history,NN,O,
1537,112,of,of,of,IN,O,
1538,112,Reading,reading,reading,NN,O,
1539,112,:,:,:,:,O,
1540,112,The,the,the,DT,B,WORK_OF_ART
1541,112,Case,case,Case,NNP,I,WORK_OF_ART
1542,112,of,of,of,IN,I,WORK_OF_ART
1543,112,the,the,the,DT,I,WORK_OF_ART
1544,112,Little,little,Little,NNP,I,WORK_OF_ART
1545,112,Gidding,gidding,Gidding,NNP,I,WORK_OF_ART
1546,112,Harmonies,harmonies,Harmonies,NNPS,I,WORK_OF_ART
1547,113,New,new,new,JJ,O,
1548,113,perspectives,perspectives,perspective,NNS,O,
1549,113,on,on,on,IN,O,
1550,113,pre,pre,pre,JJ,B,EVENT
1551,113,-,-,-,JJ,I,EVENT
1552,113,Restoration,restoration,restoration,JJ,I,EVENT
1553,113,Irish,irish,irish,JJ,B,NORP
1554,113,book,book,book,NN,O,
1555,113,history,history,history,NN,O,
1556,114,Reading,reading,read,VBG,O,
1557,114,the,the,the,DT,B,ORG
1558,114,Contingencies,contingencies,Contingencies,NNPS,I,ORG
1559,114,of,of,of,IN,I,ORG
1560,114,Print,print,Print,NNP,I,ORG
1561,114,on,on,on,IN,O,
1562,114,the,the,the,DT,O,
1563,114,Borderlands,borderlands,borderland,NNS,O,
1564,115,Transmitting,transmitting,transmit,VBG,O,
1565,115,the,the,the,DT,O,
1566,115,Memory,memory,memory,NN,O,
1567,115,of,of,of,IN,O,
1568,115,a,a,a,DT,O,
1569,115,Medieval,medieval,Medieval,NNP,O,
1570,115,Heretic,heretic,Heretic,NNP,O,
1571,115,Early,early,Early,NNP,O,
1572,115,Modern,modern,modern,JJ,O,
1573,115,French,french,french,JJ,O,
1574,115,Historians,historians,Historians,NNPS,O,
1575,115,on,on,on,IN,O,
1576,115,Marguerite,marguerite,Marguerite,NNP,O,
1577,115,Porete,porete,Porete,NNP,O,
1578,116,One,one,one,CD,B,CARDINAL
1579,116,Hundred,hundred,hundred,CD,I,CARDINAL
1580,116,Thousand,thousand,thousand,CD,I,CARDINAL
1581,116,Why,why,why,WRB,O,
1582,116,s,s,s,VBP,O,
1583,116,:,:,:,:,O,
1584,116,A,a,a,DT,O,
1585,116,Classic,classic,classic,NN,B,PRODUCT
1586,116,in,in,in,IN,O,
1587,116,Chinese,chinese,Chinese,NNP,B,NORP
1588,116,Book,book,Book,NNP,O,
1589,116,History,history,History,NNP,O,
1590,117,Notes,notes,note,NNS,O,
1591,117,and,and,and,CC,O,
1592,117,reflections,reflections,reflection,NNS,O,
1593,117,on,on,on,IN,O,
1594,117,the,the,the,DT,O,
1595,117,sidelines,sidelines,sideline,NNS,O,
1596,117,of,of,of,IN,O,
1597,117,the,the,the,DT,O,
1598,117,International,international,International,NNP,O,
1599,117,research,research,research,NN,O,
1600,117,conference,conference,conference,NN,O,
1601,117,What,what,what,WP,O,
1602,117,happened,happened,happen,VBD,O,
1603,117,in,in,in,IN,O,
1604,117,the,the,the,DT,O,
1605,117,library,library,library,NN,O,
1606,117,?,?,?,.,O,
1607,117,Readers,readers,reader,NNS,O,
1608,117,and,and,and,CC,O,
1609,117,libraries,libraries,library,NNS,O,
1610,117,from,from,from,IN,O,
1611,117,historical,historical,historical,JJ,O,
1612,117,investigations,investigations,investigation,NNS,O,
1613,117,to,to,to,IN,O,
1614,117,current,current,current,JJ,O,
1615,117,issues,issues,issue,NNS,O,
1616,118,Books,books,book,NNS,O,
1617,118,without,without,without,IN,O,
1618,118,Borders,borders,Borders,NNPS,O,
1619,118,:,:,:,:,O,
1620,118,Ph?m,ph?m,Ph?m,NNP,O,
1621,118,Than,than,than,IN,O,
1622,118,Duat,duat,Duat,NNP,O,
1623,118,(,(,(,-LRB-,O,
1624,118,1825,1825,1825,CD,B,DATE
1625,118,-,-,-,SYM,I,DATE
1626,118,1885,1885,1885,CD,I,DATE
1627,118,),),),-RRB-,O,
1628,118,and,and,and,CC,O,
1629,118,the,the,the,DT,B,ORG
1630,118,Culture,culture,Culture,NNP,I,ORG
1631,118,of,of,of,IN,I,ORG
1632,118,Knowledge,knowledge,Knowledge,NNP,I,ORG
1633,118,in,in,in,IN,O,
1634,118,Mid,mid,Mid,NNP,B,DATE
1635,118,-,-,-,JJ,I,DATE
1636,118,Nineteenth,nineteenth,nineteenth,JJ,I,DATE
1637,118,-,-,-,HYPH,I,DATE
1638,118,Century,century,Century,NNP,I,DATE
1639,118,Vietnam,vietnam,Vietnam,NNP,B,GPE
1640,119,A,a,a,DT,O,
1641,119,Colonial,colonial,Colonial,NNP,B,ORG
1642,119,Affair,affair,Affair,NNP,I,ORG
1643,119,:,:,:,:,O,
1644,119,Heinemann,heinemann,Heinemann,NNP,B,ORG
1645,119,Educational,educational,Educational,NNP,I,ORG
1646,119,Books,books,Books,NNPS,I,ORG
1647,119,and,and,and,CC,O,
1648,119,the,the,the,DT,B,ORG
1649,119,African,african,African,NNP,I,ORG
1650,119,Market,market,Market,NNP,I,ORG
1651,120,Producing,producing,Producing,NNP,O,
1652,120,Ferdinand,ferdinand,Ferdinand,NNP,B,PERSON
1653,120,E.,e.,E.,NNP,I,PERSON
1654,120,Marcos,marcos,Marcos,NNP,I,PERSON
1655,120,",",",",",",",",O,
1656,120,the,the,the,DT,O,
1657,120,Scholarly,scholarly,Scholarly,NNP,O,
1658,120,Author,author,Author,NNP,O,
1659,121,Introduction,introduction,introduction,NN,O,
1660,121,:,:,:,:,O,
1661,121,Writing,writing,write,VBG,O,
1662,121,Eighteenth,eighteenth,Eighteenth,NNP,B,DATE
1663,121,-,-,-,HYPH,I,DATE
1664,121,Century,century,Century,NNP,I,DATE
1665,121,Religion,religion,Religion,NNP,O,
1666,122,The,the,the,DT,B,WORK_OF_ART
1667,122,Nature,nature,nature,NN,I,WORK_OF_ART
1668,122,of,of,of,IN,I,WORK_OF_ART
1669,122,Notebooks,notebooks,notebook,NNS,I,WORK_OF_ART
1670,122,:,:,:,:,I,WORK_OF_ART
1671,122,How,how,how,WRB,I,WORK_OF_ART
1672,122,Enlightenment,enlightenment,Enlightenment,NNP,I,WORK_OF_ART
1673,122,Schoolchildren,schoolchildren,Schoolchildren,NNP,I,WORK_OF_ART
1674,122,Transformed,transformed,transform,VBD,I,WORK_OF_ART
1675,122,the,the,the,DT,I,WORK_OF_ART
1676,122,Tabula,tabula,Tabula,NNP,I,WORK_OF_ART
1677,122,Rasa,rasa,Rasa,NNP,I,WORK_OF_ART
1678,123,The,the,the,DT,B,WORK_OF_ART
1679,123,Broadview,broadview,Broadview,NNP,I,WORK_OF_ART
1680,123,Introduction,introduction,introduction,NN,I,WORK_OF_ART
1681,123,to,to,to,IN,I,WORK_OF_ART
1682,123,Book,book,Book,NNP,I,WORK_OF_ART
1683,123,History,history,History,NNP,I,WORK_OF_ART
1684,124,Vibrant,vibrant,Vibrant,NNP,O,
1685,124,Material,material,Material,NNP,O,
1686,124,Textuality,textuality,Textuality,NNP,O,
1687,124,:,:,:,:,O,
1688,124,New,new,New,NNP,O,
1689,124,Materialism,materialism,Materialism,NNP,O,
1690,124,",",",",",",",",O,
1691,124,Book,book,Book,NNP,B,PERSON
1692,124,History,history,History,NNP,I,PERSON
1693,124,",",",",",",",",O,
1694,124,and,and,and,CC,O,
1695,124,the,the,the,DT,B,ORG
1696,124,Archive,archive,Archive,NNP,I,ORG
1697,124,in,in,in,IN,I,ORG
1698,124,Paper,paper,Paper,NNP,I,ORG
1699,125,Hans,hans,Hans,NNP,B,PERSON
1700,125,Christian,christian,Christian,NNP,I,PERSON
1701,125,Andersen,andersen,Andersen,NNP,I,PERSON
1702,125,for,for,for,IN,I,PERSON
1703,125,Children,children,Children,NNP,I,PERSON
1704,125,",",",",",",",",O,
1705,125,with,with,with,IN,O,
1706,125,Children,children,Children,NNPS,O,
1707,125,and,and,and,CC,O,
1708,125,by,by,by,IN,O,
1709,125,Children,children,child,NNS,O,
1710,126,TEXTS,texts,texts,VB,O,
1711,126,ON,on,on,IN,O,
1712,126,THE,the,the,DT,O,
1713,126,MOVE,move,move,NN,O,
1714,126,:,:,:,:,O,
1715,126,TEXTUALITY,textuality,TEXTUALITY,NNP,B,ORG
1716,126,AND,and,and,CC,O,
1717,126,HISTORICITY,historicity,HISTORICITY,NNP,O,
1718,126,REVISITED,revisited,revisit,VBD,O,
1719,127,The,the,the,DT,B,ORG
1720,127,Private,private,private,JJ,I,ORG
1721,127,Chinese,chinese,Chinese,NNP,I,ORG
1722,127,Library,library,Library,NNP,I,ORG
1723,127,as,as,as,IN,O,
1724,127,Contact,contact,Contact,NNP,O,
1725,127,Zone,zone,Zone,NNP,O,
1726,127,:,:,:,:,O,
1727,127,The,the,the,DT,B,ORG
1728,127,Little,little,Little,NNP,I,ORG
1729,127,Mountain,mountain,Mountain,NNP,I,ORG
1730,127,Hall,hall,Hall,NNP,I,ORG
1731,127,Collection,collection,Collection,NNP,I,ORG
1732,127,as,as,as,IN,O,
1733,127,Case,case,Case,NNP,O,
1734,127,Study,study,Study,NNP,O,
1735,128,The,the,the,DT,O,
1736,128,book,book,book,NN,O,
1737,128,history,history,history,NN,O,
1738,128,of,of,of,IN,O,
1739,128,Rome,rome,Rome,NNP,B,GPE
1740,129,The,the,the,DT,O,
1741,129,Forger,forger,Forger,NNP,B,ORG
1742,129,'s,'s,'s,POS,O,
1743,129,Shakespeare,shakespeare,Shakespeare,NNP,B,PERSON
1744,129,Library,library,Library,NNP,I,PERSON
1745,129,Authorship,authorship,Authorship,NNP,I,PERSON
1746,129,",",",",",",",",O,
1747,129,Book,book,Book,NNP,B,PERSON
1748,129,History,history,History,NNP,I,PERSON
1749,129,",",",",",",",",O,
1750,129,and,and,and,CC,O,
1751,129,The,the,the,DT,O,
1752,129,Tragedy,tragedy,Tragedy,NNP,B,PERSON
1753,129,of,of,of,IN,O,
1754,129,Arthur,arthur,Arthur,NNP,B,GPE
1755,130,VISUAL,visual,VISUAL,NNP,O,
1756,130,INFORMATION,information,information,NN,O,
1757,130,AND,and,and,CC,O,
1758,130,HISTORIC,historic,historic,JJ,O,
1759,130,KNOWLEDGE,knowledge,KNOWLEDGE,NNP,O,
1760,130,.,.,.,.,O,
1761,130,THE,the,the,DT,O,
1762,130,SYSTEMATIC,systematic,systematic,NN,O,
1763,130,INTEGRATION,integration,INTEGRATION,NNP,O,
1764,130,BETWEEN,between,between,IN,O,
1765,130,TEXT,text,text,NN,O,
1766,130,AND,and,and,CC,O,
1767,130,IMAGE,image,image,NN,O,
1768,130,IN,in,in,IN,O,
1769,130,THE,the,the,DT,B,ORG
1770,130,LIBER,liber,liber,NN,I,ORG
1771,130,CHRONICARUM,chronicarum,CHRONICARUM,NNS,I,ORG
1772,130,(,(,(,-LRB-,O,
1773,130,1493,1493,1493,CD,B,DATE
1774,130,),),),-RRB-,O,
1775,131,Literary,literary,literary,JJ,O,
1776,131,cycle,cycle,cycle,NN,O,
1777,131,:,:,:,:,O,
1778,131,contribution,contribution,contribution,NN,O,
1779,131,to,to,to,IN,O,
1780,131,a,a,a,DT,O,
1781,131,Norwegian,norwegian,norwegian,JJ,B,NORP
1782,131,book,book,book,NN,O,
1783,131,history,history,history,NN,O,
1784,131,from,from,from,IN,O,
1785,131,Maurits,maurits,Maurits,NNP,B,PERSON
1786,131,Hansen,hansen,Hansen,NNP,I,PERSON
1787,131,to,to,to,TO,O,
1788,131,Gunvor,gunvor,Gunvor,NNP,B,PERSON
1789,131,Hofmo,hofmo,Hofmo,NNP,I,PERSON
1790,132,POPULAR,popular,POPULAR,NNP,O,
1791,132,HEALING,healing,HEALING,NNP,O,
1792,132,IN,in,in,IN,O,
1793,132,PRINTED,printed,PRINTED,NNP,O,
1794,132,MEDICAL,medical,MEDICAL,NNP,O,
1795,132,BOOKS,books,BOOKS,NNP,O,
1796,132,The,the,the,DT,O,
1797,132,Compilation,compilation,Compilation,NNP,O,
1798,132,and,and,and,CC,O,
1799,132,Publication,publication,Publication,NNP,O,
1800,132,of,of,of,IN,O,
1801,132,the,the,the,DT,O,
1802,132,Chuanya,chuanya,Chuanya,NNP,B,GPE
1803,132,from,from,from,IN,O,
1804,132,the,the,the,DT,O,
1805,132,Late,late,Late,NNP,O,
1806,132,Qing,qing,Qing,NNP,O,
1807,132,through,through,through,IN,O,
1808,132,the,the,the,DT,O,
1809,132,Republican,republican,republican,JJ,B,NORP
1810,132,Period,period,period,NN,O,
1811,133,Distributed,distributed,distribute,VBN,O,
1812,133,reading,reading,reading,NN,O,
1813,133,:,:,:,:,O,
1814,133,Literary,literary,literary,JJ,B,PERSON
1815,133,reading,reading,reading,NN,O,
1816,133,in,in,in,IN,O,
1817,133,diverse,diverse,diverse,JJ,O,
1818,133,environments,environments,environment,NNS,O,
1819,134,Mining,mining,mine,VBG,O,
1820,134,the,the,the,DT,O,
1821,134,Material,material,Material,NNP,O,
1822,134,Archive,archive,Archive,NNP,O,
1823,134,:,:,:,:,O,
1824,134,Balancing,balancing,Balancing,NNP,O,
1825,134,Sensate,sensate,Sensate,NNP,O,
1826,134,Experience,experience,Experience,NNP,O,
1827,134,and,and,and,CC,O,
1828,134,Sense,sense,sense,NN,O,
1829,134,-,-,-,HYPH,O,
1830,134,Making,making,making,NN,O,
1831,134,in,in,in,IN,O,
1832,134,Digitized,digitized,Digitized,NNP,B,ORG
1833,134,Print,print,Print,NNP,I,ORG
1834,134,Collections,collections,Collections,NNPS,I,ORG
1835,135,HISTORIOGRAPHY,historiography,historiography,VB,O,
1836,135,ON,on,ON,NNP,O,
1837,135,LITURGICAL,liturgical,LITURGICAL,NNP,O,
1838,135,MONODY,monody,MONODY,NNP,O,
1839,135,AND,and,and,CC,O,
1840,135,PROCESSIONS,processions,PROCESSIONS,NNPS,O,
1841,135,IN,in,in,IN,O,
1842,135,ARAGON,aragon,ARAGON,NNP,O,
1843,135,IN,in,in,IN,O,
1844,135,THE,the,the,DT,O,
1845,135,LATE,late,late,JJ,O,
1846,135,MIDDLE,middle,middle,JJ,O,
1847,135,AGES,ages,age,NNS,O,
1848,135,AND,and,and,CC,O,
1849,135,ITS,its,its,PRP$,O,
1850,135,RELATION,relation,relation,NN,O,
1851,135,WITH,with,with,IN,O,
1852,135,LITURGICAL,liturgical,liturgical,NN,O,
1853,135,BOOKS,books,book,NNS,O,
1854,136,Codex,codex,Codex,NNP,O,
1855,136,Argenteus,argenteus,Argenteus,NNP,O,
1856,136,in,in,in,IN,O,
1857,136,the,the,the,DT,O,
1858,136,light,light,light,NN,O,
1859,136,of,of,of,IN,O,
1860,136,science,science,science,NN,O,
1861,136,and,and,and,CC,O,
1862,136,technology,technology,technology,NN,O,
1863,137,The,the,the,DT,O,
1864,137,literary,literary,literary,JJ,O,
1865,137,agent,agent,agent,NN,O,
1866,137,and,and,and,CC,O,
1867,137,the,the,the,DT,O,
1868,137,transatlantic,transatlantic,transatlantic,JJ,B,ORG
1869,137,cultural,cultural,cultural,JJ,O,
1870,137,history,history,history,NN,O,
1871,137,:,:,:,:,O,
1872,137,in,in,in,IN,O,
1873,137,pursuit,pursuit,pursuit,NN,O,
1874,137,of,of,of,IN,O,
1875,137,an,an,an,DT,O,
1876,137,interrupted,interrupted,interrupted,JJ,O,
1877,137,dialogue,dialogue,dialogue,NN,O,
1878,138,I,i,I,PRP,O,
1879,138,loved,loved,love,VBD,O,
1880,138,my,my,my,PRP$,O,
1881,138,books,books,book,NNS,O,
1882,138,:,:,:,:,O,
1883,138,Shakespeare,shakespeare,Shakespeare,NNP,B,PERSON
1884,138,and,and,and,CC,O,
1885,138,the,the,the,DT,B,ORG
1886,138,Modernity,modernity,Modernity,NNP,I,ORG
1887,138,of,of,of,IN,I,ORG
1888,138,Loving,loving,Loving,NNP,I,ORG
1889,138,Literature,literature,Literature,NNP,I,ORG
1890,139,Publishing,publishing,Publishing,NNP,O,
1891,139,",",",",",",",",O,
1892,139,politics,politics,politic,NNS,O,
1893,139,and,and,and,CC,O,
1894,139,literary,literary,literary,JJ,O,
1895,139,prizes,prizes,prize,NNS,O,
1896,139,:,:,:,:,O,
1897,139,Nuruddin,nuruddin,Nuruddin,NNP,B,PERSON
1898,139,Farah,farah,Farah,NNP,I,PERSON
1899,139,'s,'s,'s,POS,I,PERSON
1900,139,reception,reception,reception,NN,O,
1901,139,in,in,in,IN,O,
1902,139,Italy,italy,Italy,NNP,B,GPE
1903,140,A,a,a,DT,B,WORK_OF_ART
1904,140,Pure,pure,Pure,NNP,I,WORK_OF_ART
1905,140,Language,language,Language,NNP,I,WORK_OF_ART
1906,140,(,(,(,-LRB-,O,
1907,140,or,or,or,CC,O,
1908,140,Lip,lip,Lip,NNP,O,
1909,140,):,):,):,:,O,
1910,140,Representing,representing,represent,VBG,O,
1911,140,Hebrew,hebrew,Hebrew,NNP,O,
1912,140,in,in,in,IN,O,
1913,140,Colonial,colonial,Colonial,NNP,B,ORG
1914,140,New,new,New,NNP,I,ORG
1915,140,England,england,England,NNP,I,ORG
1916,141,A,a,a,DT,O,
1917,141,Publishing,publishing,Publishing,NNP,O,
1918,141,Assemblage,assemblage,Assemblage,NNP,O,
1919,141,:,:,:,:,O,
1920,141,Building,building,Building,NNP,O,
1921,141,Book,book,Book,NNP,O,
1922,141,History,history,History,NNP,O,
1923,141,Methodology,methodology,Methodology,NNP,O,
1924,141,through,through,through,IN,O,
1925,141,Feminist,feminist,Feminist,NNP,O,
1926,141,Periodicals,periodicals,periodical,NNS,O,
1927,142,Mary,mary,Mary,NNP,B,PERSON
1928,142,Anne,anne,Anne,NNP,I,PERSON
1929,142,Sadlier,sadlier,Sadlier,NNP,I,PERSON
1930,142,'s,'s,'s,POS,I,PERSON
1931,142,trans,trans,trans,JJ,O,
1932,142,-,-,-,JJ,O,
1933,142,Atlantic,atlantic,atlantic,JJ,O,
1934,142,links,links,link,NNS,O,
1935,142,:,:,:,:,O,
1936,142,Migration,migration,migration,NN,O,
1937,142,",",",",",",",",O,
1938,142,religion,religion,religion,NN,O,
1939,142,and,and,and,CC,O,
1940,142,translation,translation,translation,NN,O,
1941,143,Gendered,gendered,Gendered,NNP,O,
1942,143,spheres,spheres,sphere,VBZ,O,
1943,143,:,:,:,:,O,
1944,143,theorizing,theorizing,theorize,VBG,O,
1945,143,space,space,space,NN,O,
1946,143,in,in,in,IN,O,
1947,143,the,the,the,DT,O,
1948,143,English,english,English,NNP,B,LANGUAGE
1949,143,printing,printing,printing,NN,O,
1950,143,house,house,house,NN,O,
1951,144,Prices,prices,price,NNS,O,
1952,144,in,in,in,IN,O,
1953,144,Robert,robert,Robert,NNP,B,PERSON
1954,144,Estienne,estienne,Estienne,NNP,I,PERSON
1955,144,'s,'s,'s,POS,I,PERSON
1956,144,booksellers,booksellers,bookseller,NNS,O,
1957,144,',',',POS,O,
1958,144,catalogues,catalogues,catalogue,NNS,O,
1959,144,(,(,(,-LRB-,O,
1960,144,Paris,paris,Paris,NNP,O,
1961,144,1541,1541,1541,CD,B,DATE
1962,144,-,-,-,SYM,I,DATE
1963,144,1552,1552,1552,CD,I,DATE
1964,144,):,):,):,:,O,
1965,144,a,a,a,DT,O,
1966,144,statistical,statistical,statistical,JJ,O,
1967,144,analysis,analysis,analysis,NN,O,
1968,145,Peace,peace,peace,NN,O,
1969,145,at,at,at,IN,O,
1970,145,the,the,the,DT,O,
1971,145,Lily,lily,Lily,NNP,O,
1972,145,.,.,.,.,O,
1973,145,The,the,the,DT,O,
1974,145,De,de,De,NNP,O,
1975,145,Franceschi,franceschi,Franceschi,NNP,O,
1976,145,section,section,section,NN,O,
1977,145,in,in,in,IN,O,
1978,145,the,the,the,DT,O,
1979,145,stockbook,stockbook,stockbook,NN,O,
1980,145,of,of,of,IN,O,
1981,145,Bernardino,bernardino,Bernardino,NNP,B,ORG
1982,145,Giunti,giunti,Giunti,NNP,I,ORG
1983,146,Introduction,introduction,introduction,NN,O,
1984,146,:,:,:,:,O,
1985,146,Print,print,Print,NNP,O,
1986,146,Culture,culture,Culture,NNP,O,
1987,146,in,in,in,IN,O,
1988,146,Southern,southern,Southern,NNP,B,GPE
1989,146,Africa,africa,Africa,NNP,I,GPE
1990,147,History,history,history,NN,O,
1991,147,by,by,by,IN,O,
1992,147,Paratext,paratext,Paratext,NNP,O,
1993,147,:,:,:,:,O,
1994,147,Thomas,thomas,Thomas,NNP,B,PERSON
1995,147,Mofolo,mofolo,Mofolo,NNP,I,PERSON
1996,147,'s,'s,'s,POS,I,PERSON
1997,147,Chaka,chaka,Chaka,NNS,B,NORP
1998,148,Transferring,transferring,transfer,VBG,O,
1999,148,Sinosphere,sinosphere,Sinosphere,NNP,O,
2000,148,Knowledge,knowledge,Knowledge,NNP,O,
2001,148,to,to,to,IN,O,
2002,148,the,the,the,DT,O,
2003,148,Public,public,Public,NNP,O,
2004,148,:,:,:,:,O,
2005,148,James,james,James,NNP,B,PERSON
2006,148,Summers,summers,Summers,NNP,I,PERSON
2007,148,(,(,(,-LRB-,O,
2008,148,1828,1828,1828,CD,B,DATE
2009,148,-,-,-,SYM,I,DATE
2010,148,91,91,91,CD,I,DATE
2011,148,),),),-RRB-,O,
2012,148,as,as,as,IN,O,
2013,148,Printer,printer,Printer,NNP,B,PERSON
2014,148,",",",",",",",",O,
2015,148,Editor,editor,Editor,NNP,O,
2016,148,and,and,and,CC,O,
2017,148,Cataloguer,cataloguer,Cataloguer,NNP,B,ORG
2018,149,Celebrating,celebrating,celebrate,VBG,O,
2019,149,",",",",",",",",O,
2020,149,Interpreting,interpreting,Interpreting,NNP,B,ORG
2021,149,",",",",",",",",O,
2022,149,and,and,and,CC,O,
2023,149,Spreading,spreading,spread,VBG,O,
2024,149,News,news,News,NNP,O,
2025,149,:,:,:,:,O,
2026,149,Nicaise,nicaise,Nicaise,NNP,O,
2027,149,Ladam,ladam,Ladam,NNP,O,
2028,149,and,and,and,CC,O,
2029,149,Publishing,publishing,Publishing,NNP,B,ORG
2030,149,Topical,topical,Topical,NNP,I,ORG
2031,149,Poetry,poetry,Poetry,NNP,I,ORG
2032,149,in,in,in,IN,O,
2033,149,the,the,the,DT,O,
2034,149,Southern,southern,Southern,NNP,O,
2035,149,Low,low,Low,NNP,O,
2036,149,Countries,countries,Countries,NNPS,O,
2037,149,(,(,(,-LRB-,O,
2038,149,1508,1508,1508,CD,B,DATE
2039,149,-,-,-,SYM,I,DATE
2040,149,1522,1522,1522,CD,I,DATE
2041,149,),),),-RRB-,O,
2042,150,Jeremiah,jeremiah,Jeremiah,NNP,O,
2043,150,as,as,as,IN,O,
2044,150,Collection,collection,Collection,NNP,B,ORG
2045,150,:,:,:,:,I,ORG
2046,150,Scrolls,scrolls,Scrolls,NNP,I,ORG
2047,150,",",",",",",",",I,ORG
2048,150,Sheets,sheets,Sheets,NNP,I,ORG
2049,150,",",",",",",",",O,
2050,150,and,and,and,CC,O,
2051,150,the,the,the,DT,B,ORG
2052,150,Problem,problem,Problem,NNP,I,ORG
2053,150,of,of,of,IN,I,ORG
2054,150,Textual,textual,Textual,NNP,I,ORG
2055,150,Arrangement,arrangement,Arrangement,NNP,I,ORG
2056,151,The,the,the,DT,O,
2057,151,Japanese,japanese,japanese,JJ,B,NORP
2058,151,Contemptus,contemptus,Contemptus,NNP,O,
2059,151,mundi,mundi,mundi,NN,O,
2060,151,(,(,(,-LRB-,O,
2061,151,1596,1596,1596,CD,B,DATE
2062,151,),),),-RRB-,O,
2063,151,of,of,of,IN,O,
2064,151,the,the,the,DT,B,LAW
2065,151,Bibliotheca,bibliotheca,Bibliotheca,NNP,I,LAW
2066,151,Augusta,augusta,Augusta,NNP,I,LAW
2067,151,:,:,:,:,I,LAW
2068,151,A,a,a,DT,I,LAW
2069,151,Brief,brief,Brief,NNP,I,LAW
2070,151,Remark,remark,Remark,NNP,I,LAW
2071,151,on,on,on,IN,O,
2072,151,a,a,a,DT,O,
2073,151,New,new,New,NNP,O,
2074,151,Discovery,discovery,Discovery,NNP,O,
2075,152,Black,black,Black,NNP,B,ORG
2076,152,Cultural,cultural,Cultural,NNP,I,ORG
2077,152,Life,life,Life,NNP,I,ORG
2078,152,in,in,in,IN,O,
2079,152,South,south,South,NNP,B,GPE
2080,152,Africa,africa,Africa,NNP,I,GPE
2081,152,:,:,:,:,O,
2082,152,Reception,reception,Reception,NNP,O,
2083,152,",",",",",",",",O,
2084,152,Apartheid,apartheid,Apartheid,NNP,B,PERSON
2085,152,",",",",",",",",O,
2086,152,and,and,and,CC,O,
2087,152,Ethics,ethics,ethic,NNS,B,ORG
2088,153,Henry,henry,Henry,NNP,B,PERSON
2089,153,Wadsworth,wadsworth,Wadsworth,NNP,I,PERSON
2090,153,Longfellow,longfellow,Longfellow,NNP,I,PERSON
2091,153,and,and,and,CC,O,
2092,153,the,the,the,DT,B,ORG
2093,153,Transatlantic,transatlantic,Transatlantic,NNP,I,ORG
2094,153,Materials,materials,Materials,NNPS,I,ORG
2095,153,of,of,of,IN,I,ORG
